Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydropower,Wind,Solar,Bioenergy,Other renewables,Coal (Original Year),Gas (Original Year),Oil (Original Year),Nuclear (Original Year),Hydropower (Original Year),Wind (Original Year),Solar (Original Year),Bioenergy (Original Year),Other renewables (Original Year)
Australia,AUS,2025,4766.556,1838.0421,240.33057,0,481.0355,1225.6111,1879.5946,111.92966,0,2024,2024,2024,2024,2024,2024,2024,2024,2024
Brazil,BRA,2025,80.775375,257.73874,59.442024,74.57272,1826.1625,552.50543,416.5171,259.00748,0,,,,,,,,,
Canada,CAN,2025,664.8935,2888.349,190.14758,2126.2637,8591.281,1282.9354,253.44704,262.1694,0,,,,,,,,,
China,CHN,2025,4061.5605,235.97975,63.237236,344.33395,986.5574,801.80994,829.71765,150.42058,0,,,,,,,,,
France,FRA,2025,26.106213,258.81158,155.43698,5882.4497,891.36206,697.516,477.4136,154.08667,8.552034,,,,,,,,,
Germany,DEU,2025,1226.8796,983.28784,224.91803,0,232.6492,1617.9587,1065.9521,601.01044,0,,,,,,,,,
India,IND,2025,1007.0256,33.158783,2.8008037,36.772503,121.57538,71.03112,133.88525,15.739151,0,,,,,,,,,
Japan,JPN,2025,2681.3213,2742.1646,206.24924,764.3163,600.308,104.38373,820.93536,446.12872,0,,,,,,,,,
South Africa,ZAF,2025,3050.3193,0,30.117079,157.68993,28.26372,174.8335,300.86188,7.258988,0,,,,,,,,,
Sweden,SWE,2025,0,10.3222065,184.86134,4419.7812,6403.5215,3650.3079,415.7034,934.6289,0,,,,,,,,,
United Kingdom,GBR,2025,4.744697,1307.0922,183.6054,523.0669,79.79718,1234.1963,277.78043,592.51196,0,,,,,,,,,
United States,USA,2025,2122.6646,5204.336,91.3395,2259.8176,695.9886,1337.2368,1119.6288,133.00667,50.968136,,,,,,,,,
World,OWID_WRL,2025,1272.1116,840.8,102.24242,341.55762,538.77295,329.60004,337.55716,86.30264,10.852065,,,,,,,,,