Entity,Code,Year,Fossil fuels,Nuclear,Renewables,Fossil fuels (Original Year),Nuclear (Original Year),Renewables (Original Year)
Australia,AUS,2025,64.92330528971554,0,35.07669471028445,2024,2024,2024
Brazil,BRA,2025,11.284027100108233,2.1145058152984526,86.60146708459331,,,
China,CHN,2025,58.34895456274293,4.607326772444858,37.043718664812204,,,
France,FRA,2025,5.149303681057747,68.78662363586598,26.064072683076276,,,
India,IND,2025,73.34694510206282,2.5859914012264418,24.06706349671074,,,
Japan,JPN,2025,67.29458377416549,9.136193316436776,23.569222909397748,,,
South Africa,ZAF,2025,82.15933427164497,4.205800220618844,13.634865507736196,,,
Sweden,SWE,2025,1.2184405896413424,27.590651790208533,71.19090762015014,,,
United Kingdom,GBR,2025,35.58208832064907,12.445690905899959,51.97222077345096,,,
United States,USA,2025,56.998445161672315,17.363195748507337,25.638359089820348,,,
World,OWID_WRL,2025,57.39043394368628,8.849110174008096,33.76045588230562,,,