Entity,Code,Year,Nuclear,Nuclear (Original Year)
Afghanistan,AFG,2025,0,2024
Albania,ALB,2025,0,2024
Algeria,DZA,2025,0,2024
Angola,AGO,2025,0,2024
Antigua and Barbuda,ATG,2025,0,2024
Argentina,ARG,2025,7.025792,
Armenia,ARM,2025,26.954731,
Australia,AUS,2025,0,2024
Austria,AUT,2025,0,
Azerbaijan,AZE,2025,0,
Bahamas,BHS,2025,0,2024
Bahrain,BHR,2025,0,2024
Bangladesh,BGD,2025,0,
Barbados,BRB,2025,0,2024
Belarus,BLR,2025,36.596935,
Belgium,BEL,2025,33.07724,
Belize,BLZ,2025,0,2024
Benin,BEN,2025,0,2024
Bhutan,BTN,2025,0,2024
Bolivia,BOL,2025,0,
Bosnia and Herzegovina,BIH,2025,0,
Botswana,BWA,2025,0,2024
Brazil,BRA,2025,2.1145058,
Brunei,BRN,2025,0,2024
Bulgaria,BGR,2025,39.12013,
Burkina Faso,BFA,2025,0,2024
Burundi,BDI,2025,0,2024
Cameroon,CMR,2025,0,2024
Canada,CAN,2025,13.0770645,
Cape Verde,CPV,2025,0,2024
Central African Republic,CAF,2025,0,2023
Chad,TCD,2025,0,2024
Chile,CHL,2025,0,
China,CHN,2025,4.6073265,
Colombia,COL,2025,0,
Comoros,COM,2025,0,2023
Congo,COG,2025,0,2024
Costa Rica,CRI,2025,0,
Cote d'Ivoire,CIV,2025,0,2024
Croatia,HRV,2025,0,
Cuba,CUB,2025,0,2024
Cyprus,CYP,2025,0,
Czechia,CZE,2025,42.304638,
Democratic Republic of Congo,COD,2025,0,2024
Denmark,DNK,2025,0,
Djibouti,DJI,2025,0,2024
Dominica,DMA,2025,0,2023
Dominican Republic,DOM,2025,0,
East Timor,TLS,2025,0,2024
Ecuador,ECU,2025,0,
Egypt,EGY,2025,0,2024
Equatorial Guinea,GNQ,2025,0,2024
Eritrea,ERI,2025,0,2024
Estonia,EST,2025,0,
Eswatini,SWZ,2025,0,2024
Ethiopia,ETH,2025,0,
Fiji,FJI,2025,0,2024
Finland,FIN,2025,39.87849,
France,FRA,2025,68.78663,
Gabon,GAB,2025,0,2024
Gambia,GMB,2025,0,2024
Georgia,GEO,2025,0,
Germany,DEU,2025,0,
Ghana,GHA,2025,0,2024
Greece,GRC,2025,0,
Greenland,GRL,2025,0,2024
Grenada,GRD,2025,0,2024
Guatemala,GTM,2025,0,2024
Guinea,GIN,2025,0,2024
Guinea-Bissau,GNB,2025,0,2024
Guyana,GUY,2025,0,2024
Haiti,HTI,2025,0,2024
Honduras,HND,2025,0,2024
Hungary,HUN,2025,40.00994,
Iceland,ISL,2025,0,2024
India,IND,2025,2.5859916,
Indonesia,IDN,2025,0,2024
Iran,IRN,2025,1.8570923,
Iraq,IRQ,2025,0,2024
Ireland,IRL,2025,0,
Israel,ISR,2025,0,
Italy,ITA,2025,0,
Jamaica,JAM,2025,0,2024
Japan,JPN,2025,9.136193,
Jordan,JOR,2025,0,2024
Kazakhstan,KAZ,2025,0,2024
Kenya,KEN,2025,0,
Kiribati,KIR,2025,0,2024
Kosovo,OWID_KOS,2025,0,
Kuwait,KWT,2025,0,
Kyrgyzstan,KGZ,2025,0,
Laos,LAO,2025,0,2024
Latvia,LVA,2025,0,
Lebanon,LBN,2025,0,2024
Lesotho,LSO,2025,0,2022
Liberia,LBR,2025,0,2024
Libya,LBY,2025,0,2024
Lithuania,LTU,2025,0,
Luxembourg,LUX,2025,0,
Madagascar,MDG,2025,0,2024
Malawi,MWI,2025,0,2024
Malaysia,MYS,2025,0,2024
Maldives,MDV,2025,0,2024
Mali,MLI,2025,0,2024
Malta,MLT,2025,0,
Mauritania,MRT,2025,0,2024
Mauritius,MUS,2025,0,2024
Mexico,MEX,2025,2.8461776,
Moldova,MDA,2025,0,
Mongolia,MNG,2025,0,
Montenegro,MNE,2025,0,
Morocco,MAR,2025,0,
Mozambique,MOZ,2025,0,2024
Myanmar,MMR,2025,0,2024
Namibia,NAM,2025,0,2024
Nauru,NRU,2025,0,2024
Nepal,NPL,2025,0,2024
Netherlands,NLD,2025,2.9564314,
New Caledonia,NCL,2025,0,2024
New Zealand,NZL,2025,0,
Nicaragua,NIC,2025,0,2024
Niger,NER,2025,0,2024
Nigeria,NGA,2025,0,
North Korea,PRK,2025,0,2024
North Macedonia,MKD,2025,0,
Norway,NOR,2025,0,
Oman,OMN,2025,0,
Pakistan,PAK,2025,12.157104,
Palestine,PSE,2025,0,2024
Panama,PAN,2025,0,2024
Papua New Guinea,PNG,2025,0,2024
Paraguay,PRY,2025,0,
Peru,PER,2025,0,
Philippines,PHL,2025,0,
Poland,POL,2025,0,
Portugal,PRT,2025,0,
Puerto Rico,PRI,2025,0,
Qatar,QAT,2025,0,
Romania,ROU,2025,20.477816,
Russia,RUS,2025,18.33097,
Rwanda,RWA,2025,0,2024
Saint Kitts and Nevis,KNA,2025,0,2024
Saint Lucia,LCA,2025,0,2024
Saint Vincent and the Grenadines,VCT,2025,0,2024
Samoa,WSM,2025,0,2024
Sao Tome and Principe,STP,2025,0,2023
Saudi Arabia,SAU,2025,0,2024
Senegal,SEN,2025,0,2024
Serbia,SRB,2025,0,
Seychelles,SYC,2025,0,2024
Sierra Leone,SLE,2025,0,2024
Singapore,SGP,2025,0,2024
Slovakia,SVK,2025,66.42612,
Slovenia,SVN,2025,39.285713,
Solomon Islands,SLB,2025,0,2024
Somalia,SOM,2025,0,2024
South Africa,ZAF,2025,4.2058,
South Korea,KOR,2025,29.563284,
South Sudan,SSD,2025,0,2024
Spain,ESP,2025,18.781479,
Sri Lanka,LKA,2025,0,2024
Sudan,SDN,2025,0,2024
Suriname,SUR,2025,0,2024
Sweden,SWE,2025,27.590649,
Switzerland,CHE,2025,29.867735,
Syria,SYR,2025,0,2024
Taiwan,TWN,2025,1.1269461,
Tajikistan,TJK,2025,0,
Tanzania,TZA,2025,0,2024
Thailand,THA,2025,0,2024
Togo,TGO,2025,0,2024
Tonga,TON,2025,0,2024
Trinidad and Tobago,TTO,2025,0,2024
Tunisia,TUN,2025,0,
Turkey,TUR,2025,0,
Turkmenistan,TKM,2025,0,2024
Uganda,UGA,2025,0,2024
Ukraine,UKR,2025,55.761814,2022
United Arab Emirates,ARE,2025,22.921135,2024
United Kingdom,GBR,2025,12.445692,
United States,USA,2025,17.363197,
Uruguay,URY,2025,0,
Uzbekistan,UZB,2025,0,
Vanuatu,VUT,2025,0,2023
Venezuela,VEN,2025,0,2024
Vietnam,VNM,2025,0,
Yemen,YEM,2025,0,2024
Zambia,ZMB,2025,0,2024
Zimbabwe,ZWE,2025,0,2024